"","Year","Region","Region_alt","Region_type","Strata_included","Strata_excluded","Index","Index_q_0.025","Index_q_0.05","Index_q_0.25","Index_q_0.75","Index_q_0.95","Index_q_0.975","obs_mean","nrts","nnzero","nrts_total","backcast_flag","scale","model","species"
"68",1977,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0129643359399203,0.00244503185197274,0.00327844258700155,0.00743065657827752,0.0216449067140158,0.0454940659548444,0.0593250480788869,0,1,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"69",1978,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0133155778109642,0.00273413239525106,0.00363777039930876,0.00789470192636607,0.0218744121129859,0.046054197674565,0.0571885966487071,0,2,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"70",1979,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0133207558607398,0.00285799139682051,0.00372835448171738,0.00797447164861177,0.0219647322119385,0.0439853730591475,0.0555140679461591,0,2,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"71",1980,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0126477986534248,0.00282646434035617,0.00359146866416223,0.00771116532789516,0.0205763710860096,0.0396803396254253,0.0511355517362507,0,1,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"72",1981,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0165831177135876,0.00392715708442263,0.00503866294887511,0.0103040452706261,0.0270400068513475,0.0520040345673208,0.0647865392592624,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"73",1982,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0215847101312689,0.00521842632826703,0.00663221171116804,0.0133993322393592,0.0343970448948703,0.0658861588082068,0.0801321603151851,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"74",1983,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0329819604304528,0.00810580464715104,0.0102038827119465,0.0207609933117716,0.0509310950030114,0.0945797059971275,0.114065011734264,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"75",1984,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0317177676817903,0.00820682116172995,0.0104258348840588,0.0201881259891524,0.0491671424365299,0.0900573359773645,0.110446170096242,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"76",1985,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0307814805826046,0.00800601693178944,0.0101883694666479,0.0197826476196688,0.0470736510861448,0.0854696448183041,0.103760016503436,0,0,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"77",1986,"BCR11","BCR_BCR11","bcr","48_-96 ; 49_-96 ; 50_-100","",0.0302496281807708,0.00827023500269624,0.0101877665483545,0.0196064196092276,0.0462481390161136,0.0829664401552661,0.100032422981078,0,1,0,5,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
